"cch","Cheung Chau"
"gi","Green Island"
"hka","Chek Lap Kok"
"hko","Hong Kong Observatory"
"hkp","Hong Kong Park"
"hks","Wong Chuk Hang"
"hpv","Happy Valley"
"jkb","Tseung Kwan O"
"klt","Kowloon City"
"kp","King's Park"
"ksc","Kau Sai Chau"
"ktg","Kwun Tong"
"lfs","Lau Fau Shan"
"ngp","Ngong Ping"
"pen","Peng Chau"
"plc","Tai Mei Tuk"
"sc","Sha Chau"
"se","Kai Tak"
"se1","Kai Tak Runway Park"
"sek","Shek Kong"
"sf","Star Ferry"
"sha","Sha Tin"
"skg","Sai Kung"
"skw","Shau Kei Wan"
"ssh","Sheung Shui"
"ssp","Sham Shui Po"
"sty","Stanley"
"tap","Tap Mun"
"tc","Tate's Cairn"
"tkl","Ta Kwu Ling"
"tms","Tai Mo Shan"
"tpk","Tai Po Kau"
"tpo","Tai Po"
"tun","Tuen Mun"
"tw","Tsuen Wan Ho Koon"
"twn","Tsuen Wan Ho Koon"
"ty1","Tsing Yi"
"tyw","Pak Tam Chung"
"vp1","The Peak"
"wgl","Waglan Island"
"wlp","Wetland Park"
"wts","Wong Tai Sin"
"ylp","Yuen Long Park"
